student_id,date_engaged,student_type_id,student_country
258798,2022-01-01,0,IN
258800,2022-01-02,1,CA
258800,2022-01-03,1,CA
258800,2022-01-04,1,CA
258800,2022-01-05,1,CA
258800,2022-01-06,1,CA
258800,2022-01-07,1,CA
258800,2022-01-10,1,CA
258800,2022-01-11,1,CA
258800,2022-01-13,1,CA
258800,2022-01-15,1,CA
258800,2022-01-16,1,CA
258800,2022-01-22,1,CA
258800,2022-01-23,1,CA
258800,2022-01-28,1,CA
258800,2022-02-21,1,CA
258800,2022-02-22,1,CA
258800,2022-02-23,1,CA
258800,2022-02-25,1,CA
258800,2022-02-26,1,CA
258800,2022-02-27,1,CA
258800,2022-03-14,1,CA
258800,2022-03-25,1,CA
258800,2022-03-28,1,CA
258800,2022-04-01,1,CA
258800,2022-05-12,1,CA
258800,2022-05-26,1,CA
258800,2022-05-27,1,CA
258800,2022-05-30,1,CA
258800,2022-06-28,1,CA
258803,2022-01-01,1,US
258803,2022-01-02,1,US
258803,2022-01-03,1,US
258803,2022-01-04,1,US
258803,2022-01-05,1,US
258803,2022-01-08,1,US
258803,2022-01-09,1,US
258803,2022-01-10,1,US
258803,2022-01-11,1,US
258803,2022-01-16,1,US
258803,2022-02-01,1,US
258803,2022-02-21,1,US
258803,2022-04-17,1,US
258803,2022-06-27,1,US
258803,2022-07-26,1,US
258803,2022-07-28,1,US
258803,2022-07-29,1,US
258803,2022-07-30,1,US
258803,2022-07-31,1,US
258804,2022-01-01,0,BD
258807,2022-01-01,0,US
258809,2022-01-01,0,ID
258809,2022-01-02,0,ID
258809,2022-01-04,0,ID
258810,2022-01-01,0,IN
258811,2022-01-01,0,DZ
258811,2022-01-04,0,DZ
258811,2022-01-08,0,DZ
258811,2022-01-13,0,DZ
258812,2022-01-01,0,IN
258813,2022-01-01,0,ET
258814,2022-01-01,0,IN
258814,2022-01-26,0,IN
258815,2022-01-01,0,EG
258816,2022-01-01,0,KE
258817,2022-01-01,0,IN
258818,2022-01-03,1,IN
258818,2022-01-04,1,IN
258818,2022-01-05,1,IN
258818,2022-01-06,1,IN
258818,2022-01-07,1,IN
258818,2022-01-10,1,IN
258818,2022-01-11,1,IN
258818,2022-01-12,1,IN
258818,2022-01-13,1,IN
258818,2022-01-14,1,IN
258818,2022-01-17,1,IN
258818,2022-01-18,1,IN
258818,2022-01-19,1,IN
258818,2022-01-20,1,IN
258818,2022-01-21,1,IN
258818,2022-01-23,1,IN
258818,2022-01-24,1,IN
258818,2022-01-25,1,IN
258818,2022-01-26,1,IN
258818,2022-01-27,1,IN
258818,2022-01-28,1,IN
258818,2022-01-29,1,IN
258818,2022-01-31,1,IN
258818,2022-02-01,1,IN
258818,2022-02-09,1,IN
258818,2022-02-10,1,IN
258818,2022-02-11,1,IN
258818,2022-02-12,1,IN
258818,2022-02-13,1,IN
258818,2022-02-14,1,IN
258818,2022-02-15,1,IN
258818,2022-02-16,1,IN
258818,2022-02-17,1,IN
258818,2022-02-18,1,IN
258818,2022-02-23,1,IN
258818,2022-03-03,1,IN
258818,2022-03-04,1,IN
258818,2022-03-07,1,IN
258818,2022-03-08,1,IN
258818,2022-03-09,1,IN
258818,2022-03-11,1,IN
258818,2022-03-12,1,IN
258818,2022-03-13,1,IN
258818,2022-03-15,1,IN
258818,2022-03-16,1,IN
258818,2022-03-17,1,IN
258818,2022-03-18,1,IN
258818,2022-03-20,1,IN
258818,2022-03-21,1,IN
258818,2022-03-22,1,IN
258818,2022-03-23,1,IN
258818,2022-03-24,1,IN
258818,2022-03-29,1,IN
258818,2022-03-30,1,IN
258818,2022-03-31,1,IN
258818,2022-04-01,1,IN
258818,2022-04-06,1,IN
258818,2022-04-07,1,IN
258818,2022-04-28,1,IN
258818,2022-04-29,1,IN
258818,2022-04-30,1,IN
258818,2022-05-10,1,IN
258818,2022-05-11,1,IN
258818,2022-05-12,1,IN
258818,2022-06-01,1,IN
258818,2022-06-03,1,IN
258818,2022-06-04,1,IN
258818,2022-06-12,1,IN
258818,2022-06-19,1,IN
258818,2022-07-26,1,IN
258818,2022-07-27,1,IN
258818,2022-08-17,1,IN
258818,2022-08-19,1,IN
258818,2022-09-14,1,IN
258818,2022-09-15,1,IN
258818,2022-09-16,1,IN
258818,2022-09-19,1,IN
258819,2022-01-01,0,ES
258822,2022-01-01,0,IN
258822,2022-01-09,1,IN
258822,2022-01-10,1,IN
258822,2022-01-12,1,IN
258822,2022-01-13,1,IN
258822,2022-01-14,1,IN
258822,2022-01-15,1,IN
258822,2022-01-16,1,IN
258822,2022-01-18,1,IN
258822,2022-01-19,1,IN
258822,2022-01-20,1,IN
258822,2022-01-24,1,IN
258822,2022-01-26,1,IN
258822,2022-01-29,1,IN
258822,2022-01-31,1,IN
258824,2022-01-01,0,US
258826,2022-01-01,0,CN
258827,2022-01-01,0,IN
258828,2022-01-01,0,IN
258829,2022-01-02,0,BR
258830,2022-01-01,0,BY
258831,2022-01-01,0,SG
258832,2022-01-01,0,IN
258832,2022-01-05,0,IN
258832,2022-01-06,0,IN
258832,2022-01-09,0,IN
258832,2022-02-28,0,IN
258832,2022-03-01,0,IN
258832,2022-03-06,1,IN
258832,2022-03-11,1,IN
258832,2022-03-13,1,IN
258832,2022-03-18,1,IN
258832,2022-03-21,1,IN
258832,2022-03-22,1,IN
258833,2022-01-01,0,IN
258834,2022-01-01,0,GB
258837,2022-01-02,0,ID
258837,2022-01-08,0,ID
258837,2022-01-29,0,ID
258840,2022-01-01,0,SA
258840,2022-01-04,0,SA
258841,2022-01-01,0,JP
258841,2022-01-02,0,JP
258845,2022-01-01,0,ID
258845,2022-01-08,0,ID
258845,2022-01-09,0,ID
258845,2022-01-10,0,ID
258845,2022-01-13,0,ID
258845,2022-01-14,0,ID
258845,2022-01-17,0,ID
258845,2022-01-18,0,ID
258845,2022-01-21,0,ID
258845,2022-01-26,0,ID
258845,2022-01-28,0,ID
258845,2022-02-01,0,ID
258845,2022-02-04,0,ID
258845,2022-02-12,0,ID
258845,2022-02-15,0,ID
258845,2022-03-02,0,ID
258845,2022-04-23,0,ID
258845,2022-08-06,0,ID
258845,2022-08-14,0,ID
258845,2022-08-15,0,ID
258845,2022-08-16,0,ID
258845,2022-08-17,0,ID
258845,2022-08-18,0,ID
258846,2022-01-01,0,US
258848,2022-01-01,0,RU
258849,2022-01-01,0,IN
258851,2022-01-01,0,HT
258852,2022-01-01,0,SA
258855,2022-01-01,0,GB
258857,2022-01-01,0,AZ
258860,2022-01-01,0,PL
258861,2022-01-01,0,IN
258861,2022-01-04,0,IN
258862,2022-01-01,1,NL
258862,2022-01-02,1,NL
258862,2022-01-03,1,NL
258862,2022-01-07,1,NL
258862,2022-01-13,1,NL
258862,2022-01-15,1,NL
258862,2022-01-18,1,NL
258862,2022-01-19,1,NL
258862,2022-01-20,1,NL
258862,2022-08-08,1,NL
258862,2022-08-23,1,NL
258862,2022-08-24,1,NL
258862,2022-08-25,1,NL
258862,2022-08-26,1,NL
258862,2022-08-27,1,NL
258862,2022-08-28,1,NL
258862,2022-08-30,1,NL
258862,2022-09-06,1,NL
258862,2022-09-07,1,NL
258862,2022-09-08,1,NL
258862,2022-09-09,1,NL
258865,2022-01-01,1,CA
258865,2022-01-02,1,CA
258865,2022-01-03,1,CA
258865,2022-01-05,1,CA
258865,2022-01-06,1,CA
258865,2022-01-11,1,CA
258865,2022-01-12,1,CA
258865,2022-01-15,1,CA
258865,2022-01-20,1,CA
258865,2022-01-22,1,CA
258865,2022-02-01,1,CA
258865,2022-02-07,1,CA
258865,2022-03-25,1,CA
258865,2022-09-22,1,CA
258869,2022-01-01,0,VN
258870,2022-01-01,0,GB
258870,2022-01-05,0,GB
258870,2022-01-28,0,GB
258871,2022-01-01,0,CA
258872,2022-01-03,0,CO
258876,2022-01-01,0,FR
258876,2022-01-02,0,FR
258876,2022-01-03,0,FR
258876,2022-01-12,0,FR
258876,2022-01-13,0,FR
258878,2022-01-02,1,CA
258878,2022-01-08,1,CA
258879,2022-01-29,0,LY
258880,2022-01-04,0,RU
258880,2022-01-07,0,RU
258880,2022-01-08,0,RU
258881,2022-01-01,0,EG
258882,2022-01-01,0,US
258883,2022-01-04,1,US
258883,2022-01-05,1,US
258883,2022-03-18,1,US
258884,2022-01-01,0,EG
258885,2022-01-01,0,MD
258885,2022-01-04,0,MD
258887,2022-01-03,0,SA
258888,2022-01-01,0,GB
258890,2022-01-01,0,RU
258892,2022-01-01,0,MX
258892,2022-01-31,0,MX
258892,2022-04-10,0,MX
258893,2022-01-02,0,AE
258894,2022-01-01,0,US
258895,2022-01-01,0,EG
258897,2022-04-29,0,AR
258902,2022-01-01,0,NG
258902,2022-01-02,0,NG
258903,2022-01-01,0,US
258904,2022-01-01,0,SA
258904,2022-01-02,0,SA
258904,2022-01-03,0,SA
258904,2022-01-09,0,SA
258904,2022-01-10,0,SA
258904,2022-01-12,0,SA
258905,2022-01-03,0,NG
258906,2022-01-02,0,EG
258906,2022-01-07,0,EG
258906,2022-01-08,0,EG
258906,2022-01-15,0,EG
258906,2022-01-16,0,EG
258906,2022-01-22,0,EG
258906,2022-01-29,0,EG
258906,2022-02-13,0,EG
258906,2022-03-10,0,EG
258907,2022-04-25,0,EG
258908,2022-01-01,1,US
258908,2022-01-02,1,US
258908,2022-01-03,1,US
258908,2022-01-11,1,US
258908,2022-01-12,1,US
258908,2022-01-14,1,US
258908,2022-01-17,1,US
258908,2022-01-18,1,US
258908,2022-01-20,1,US
258908,2022-01-25,1,US
258910,2022-01-02,0,EG
258912,2022-01-07,0,IN
258912,2022-01-08,0,IN
258912,2022-01-09,0,IN
258913,2022-01-02,0,US
258913,2022-01-03,0,US
258913,2022-01-04,0,US
258913,2022-01-05,0,US
258913,2022-01-27,1,US
258913,2022-02-11,1,US
258913,2022-02-12,1,US
258913,2022-02-26,1,US
258913,2022-02-28,1,US
258913,2022-03-08,1,US
258913,2022-03-09,1,US
258913,2022-03-10,1,US
258913,2022-03-11,1,US
258913,2022-03-13,1,US
258913,2022-03-17,1,US
258913,2022-03-18,1,US
258913,2022-04-09,1,US
258913,2022-04-10,1,US
258913,2022-04-11,1,US
258913,2022-04-19,1,US
258913,2022-04-20,1,US
258913,2022-04-21,1,US
258913,2022-04-27,1,US
258913,2022-05-17,1,US
258913,2022-05-18,1,US
258913,2022-05-19,1,US
258913,2022-06-28,1,US
258913,2022-07-05,1,US
258913,2022-07-06,1,US
258913,2022-07-07,1,US
258913,2022-07-08,1,US
258913,2022-07-09,1,US
258913,2022-07-10,1,US
258913,2022-07-11,1,US
258913,2022-07-12,1,US
258913,2022-07-13,1,US
258913,2022-07-14,1,US
258913,2022-07-15,1,US
258913,2022-07-16,1,US
258913,2022-07-20,1,US
258913,2022-07-21,1,US
258914,2022-01-02,0,LK
258915,2022-01-06,0,SA
258915,2022-06-23,0,SA
258915,2022-07-27,0,SA
258916,2022-04-13,1,CA
